review,label
not a fan of this `` german '' place .,0
i went into dean of shadyside salon to get my hair colored .,0
another twenty six minutes pass and husbands food comes .,0
when i go organic i go here and reccommend the same to my clients !,1
"i wasted my money , and i will never , ever go back there .",0
the lady was extremely nice to me .,1
i do n't eat at this restaurant very often .,0
i was initially a little skeptical but highly recommend this location over the original !,1
this place is a fusion of olive garden and red lobster .,0
the cheese wheel appetizer was a huge hit too !,1
great new pizza place .,1
great food pizza & wings .,1
no thanks .,0
"needless to say , this has become my favorite place to order dinner from .",1
"i am able to help move , i just could n't do it alone .",0
"the rare beef was rare , unlike most places .",1
it 's super ghetto and retro but awesome all at the same time .,1
it was a great deal !,1
both tasted very fishy to me .,0
it 's not that hard .,0
first place i went on my visit to pittsburgh .,0
sounds like the menu and staff needs to be updated .,0
"i highly recommend a great meal in a small , unassuming location .",1
the staff was incredibly nice .,1
"no lab coat , no name tag , no introduction , no nothing .",0
this continued for the total of _num_ hours .,0
what a completely miserable experience .,0
they do n't help you to find a table .,0
two and a half dollars more is not a little .,0
food is amazing .,1
great place for lunch or bar snacks and beer .,1
the worst dental office i ever been .,0
richard does not make you feel comfortable .,0
she was clearly in a hurry .,0
honesty today must have been forgotten .,0
the food is great .,1
they gave me a nice receipt .,0
they also did away with the _num_ cent wing night .,0
highly recommended .,1
selection of veggies are ok .,0
went a few times and the last visit made me sick .,0
highly recommend this place !,1
absurd .,0
lidia 's was one of our favorite italian restaurant in the city .,0
"this is a top-notch mexican grocery , albeit a small one .",1
the mexican cookie was just the same consistency .,0
it 's open again !,1
"but , wow ... what bar food it was !",1
"prices are fair for pizza anywhere , let alone downtown .",1
just great !,1
this is n't the first time that i have had this problem here .,0
this made me question whether or not she was professionally trained .,0
love our local pizza joint !,1
that is the last money i will spend in that place .,0
if you love cheese and like trying something different this place is awesome .,1
i recommend them highly !,1
"the next time i returned , i made an appointment with a different stylist .",0
calzones are excellent .,1
at our table and then left prior to ordering .,0
great breakfast place ... period .,1
it is consistently delicious .,1
good pizza as well as other great menu options .,1
went for the sunday brunch and loved it .,1
staff was very friendly .,1
the sausage was made in-house and was very flavorful .,0
i was forced to locate another vet when i adopted a new kitten .,0
colors and decor seem boring and out of style .,0
are also very good .,1
i really love this little place .,1
all are very good .,1
this is the best place we 've ever taken our cars to .,1
too many fries on the sandwich .,0
"well unlike that , this place has everything .",1
the hot chocolate bar is a dream come true - i love this place !,1
"great coffee , excellent baked goods and the food is delicious .",1
"the place is always busy , the servers are attentive and the food is delicious.",1
great service and really great breakfasts .,1
this is such an amazing theatre .,1
they also have my favorite pancakes .,1
no redeeming qualities here .,0
it was about _num_ inches off the ground !,0
i informed him i had about _num_ minutes .,0
not a dime every again .,0
it just sucks here .,0
the owners are very nice .,1
"these guys fit me in that afternoon , and coordinated the rental too .",1
the tiramisu was so good !,1
the decor is just great .,1
"i 'm vietnamese , worse viet food ever !",0
i want a whole bucket of the stuff to put on everything .,1
do not use their car wash .,0
the worst chinese food i 've had .,0
so why is laundry on liberty so expensive and so busted ?,0
great deli .,1
my sister 's flowers were stunning .,1
paid $ _num_ for three early bird specials - all three were beef broccoli .,0
this place has none of them .,0
"... can you call back later , i 'm really busy . ''",0
"had a beer and an appetizer , so-so .",0
super dry and no good flavor other than the cole slaw .,0
"why every time i come in here , it 's really hot ?",0
i never went back thanks to the attitude of the other members .,0
"bravo loved it , felt like royalty .",1
these people do a great job !,1
great store .,1
"they even have at least one chick on staff , which is cool .",1
this place is wonderful .,1
prices were good .,1
great live acts on a regular basis .,1
service is very friendly which suits the atmosphere .,1
i wo n't be going here again .,0
i love it !,1
pittsburgh bound !,1
"overpriced , salty and overrated !",0
i tried on the dress and it was super short .,0
avoid !,0
the best i 've ever tasted .,1
we 'll be enjoying breakfast elsewhere in the future .,0
we are very impressed with the high quality of the work .,1
"it was also fairly small , but that was almost to be expected .",0
my bill came out to be higher than what 's listed on the menu .,0
the beer is of course outstanding .,1
the only thing that seemed to have any flavor was the rice .,0
we were very pleased with the relaxing atmosphere .,1
"at tram 's , the pho bowl is small .",0
skip it .,0
it is a great little business to have in the neighborhood !,1
that is the prime reason why i would not recommend this restaurant to anyone .,0
this place is worth checking out on the strip .,1
blackened shrimp pasta was amazing !,1
coming here you get the feeling they have n't changed much .,0
so after several more wrong turns we finally get home .,0
mani = _num_ star .,0
they do not take pride in their work .,0
but i really do n't think there 's much you can mess up .,0
seems like a great place to buy ingredients for mediterranean dishes though .,1
"as many others said , the interaction with andy really makes it !",1
this was my first time trying brown bag deli too .,0
the bar is nice in the summer when they open the garage doors .,1
veggie omelet with cheese is my favorite !,1
not sure why it would be featured on the show .,0
